dataset,column_name,api_dtype,sample_value
B1610,N/A,N/A,No data returned from API for sample period.
B1630,N/A,N/A,No data returned from API for sample period.
B1770,N/A,N/A,No data returned from API for sample period.
BOALF,dataset,object,BOALF
BOALF,settlementDate,object,2024-06-01
BOALF,settlementPeriodFrom,int64,3
BOALF,settlementPeriodTo,int64,3
BOALF,timeFrom,object,2024-06-01T00:00:00Z
BOALF,timeTo,object,2024-06-01T00:14:00Z
BOALF,levelFrom,int64,132
BOALF,levelTo,int64,470
BOALF,acceptanceNumber,int64,206741
BOALF,acceptanceTime,object,2024-05-31T23:02:00Z
BOALF,deemedBoFlag,bool,False
BOALF,soFlag,bool,True
BOALF,amendmentFlag,object,ORI
BOALF,storFlag,bool,False
BOALF,rrFlag,bool,False
BOALF,nationalGridBmUnit,object,COSO-1
BOALF,bmUnit,object,T_COSO-1
BOD,dataset,object,BOD
BOD,settlementDate,object,2024-06-01
BOD,settlementPeriod,int64,3
BOD,timeFrom,object,2024-06-01T00:00:00Z
BOD,levelFrom,int64,-16
BOD,timeTo,object,2024-06-01T00:30:00Z
BOD,levelTo,int64,-16
BOD,pairId,int64,-1
BOD,offer,float64,140.0
BOD,bid,float64,65.0
BOD,nationalGridBmUnit,object,ABERU-1
BOD,bmUnit,object,E_ABERDARE
COSTS,settlementDate,object,2024-06-01
COSTS,settlementPeriod,int64,1
COSTS,startTime,object,2024-05-31T23:00:00Z
COSTS,createdDateTime,object,2024-06-01T23:44:34Z
COSTS,systemSellPrice,float64,102.0
COSTS,systemBuyPrice,float64,102.0
COSTS,bsadDefaulted,bool,False
COSTS,priceDerivationCode,object,P
COSTS,reserveScarcityPrice,float64,0.0
COSTS,netImbalanceVolume,float64,135.71654853174604
COSTS,sellPriceAdjustment,float64,0.0
COSTS,buyPriceAdjustment,float64,0.0
COSTS,replacementPrice,float64,
COSTS,replacementPriceReferenceVolume,float64,
COSTS,totalAcceptedOfferVolume,float64,843.2986913888889
COSTS,totalAcceptedBidVolume,float64,-95.43222313492063
COSTS,totalAdjustmentSellVolume,float64,-850.0
COSTS,totalAdjustmentBuyVolume,float64,238.0
COSTS,totalSystemTaggedAcceptedOfferVolume,float64,842.2986913888889
COSTS,totalSystemTaggedAcceptedBidVolume,float64,-95.43222313492063
COSTS,totalSystemTaggedAdjustmentSellVolume,float64,-850.0
COSTS,totalSystemTaggedAdjustmentBuyVolume,float64,238.0
COSTS,_dataset,object,COSTS
COSTS,_window_from_utc,object,2024-06-01T00:00:00
COSTS,_window_to_utc,object,2024-06-01T01:00:00
COSTS,_ingested_utc,object,2025-09-22T13:27:03.943381
DEMAND_FORECAST,N/A,N/A,No data returned from API for sample period.
DISBSAD,dataset,object,DISBSAD
DISBSAD,settlementDate,object,2024-06-01
DISBSAD,settlementPeriod,int64,3
DISBSAD,id,int64,2
DISBSAD,cost,float64,-277.5
DISBSAD,volume,float64,-25.0
DISBSAD,soFlag,bool,True
DISBSAD,storFlag,bool,False
DISBSAD,partyId,object,Norlys Energy Trading A/S
DISBSAD,assetId,object,IND-NORL1
DISBSAD,isTendered,bool,True
DISBSAD,service,object,System
FOU2T14D,dataset,object,FOU2T14D
FOU2T14D,fuelType,object,BIOMASS
FOU2T14D,publishTime,object,2025-09-22T13:00:00Z
FOU2T14D,systemZone,object,
FOU2T14D,forecastDate,object,2025-09-24
FOU2T14D,forecastDateTimezone,object,Europe/London
FOU2T14D,outputUsable,int64,3509
FOU2T14D,biddingZone,object,
FOU2T14D,interconnectorName,object,
FOU2T14D,interconnector,bool,False
FOU2T3YW,dataset,object,FOU2T3YW
FOU2T3YW,fuelType,object,BIOMASS
FOU2T3YW,publishTime,object,2025-09-22T13:00:00Z
FOU2T3YW,systemZone,object,
FOU2T3YW,calendarWeekNumber,int64,41
FOU2T3YW,year,int64,2025
FOU2T3YW,outputUsable,int64,3374
FOU2T3YW,biddingZone,object,
FOU2T3YW,interconnectorName,object,
FOU2T3YW,interconnector,bool,False
FREQ,dataset,object,FREQ
FREQ,measurementTime,object,2025-09-22T00:00:00Z
FREQ,frequency,float64,50.052
FUELHH,dataset,object,FUELHH
FUELHH,publishTime,object,2025-09-22T13:00:00Z
FUELHH,startTime,object,2025-09-22T12:30:00Z
FUELHH,settlementDate,object,2025-09-22
FUELHH,settlementPeriod,int64,28
FUELHH,fuelType,object,BIOMASS
FUELHH,generation,int64,3019
FUELINST,dataset,object,FUELINST
FUELINST,publishTime,object,2025-09-22T13:25:00Z
FUELINST,startTime,object,2025-09-22T13:20:00Z
FUELINST,settlementDate,object,2025-09-22
FUELINST,settlementPeriod,int64,29
FUELINST,fuelType,object,BIOMASS
FUELINST,generation,int64,2855
IMBALNGC,dataset,object,IMBALNGC
IMBALNGC,imbalance,int64,1735
IMBALNGC,publishTime,object,2025-09-22T13:17:00Z
IMBALNGC,startTime,object,2025-09-22T13:30:00Z
IMBALNGC,settlementDate,object,2025-09-22
IMBALNGC,settlementPeriod,int64,30
IMBALNGC,boundary,object,B1
INDDEM,dataset,object,INDDEM
INDDEM,demand,int64,-93
INDDEM,publishTime,object,2025-09-22T13:17:00Z
INDDEM,startTime,object,2025-09-22T13:30:00Z
INDDEM,settlementDate,object,2025-09-22
INDDEM,settlementPeriod,int64,30
INDDEM,boundary,object,B1
