file_path,dno_name,mpan_code,year,band,sheet_name,time_period,min_rate,max_rate,mean_rate,median_rate,count,unit
dno_data_enhanced/Northern Powergrid (Northeast) - 2025-26 PCDM Model v0.1.xlsx,Northern Powergrid Northeast,23.0,2025,RED,Fixed inputs,16:00-19:00 (weekdays) (default),1.0,1.0,1.0,1.0,7,p/kWh
dno_data_enhanced/Northern Powergrid (Northeast) - 2025-26 PCDM Model v0.1.xlsx,Northern Powergrid Northeast,23.0,2025,AMBER,Fixed inputs,"07:00-16:00, 19:00-23:00 (weekdays) (default)",1.0,1.0,1.0,1.0,6,p/kWh
dno_data_enhanced/Northern Powergrid (Northeast) - 2025-26 PCDM Model v0.1.xlsx,Northern Powergrid Northeast,23.0,2025,GREEN,Fixed inputs,"23:00-07:00 (all days), all day (weekends) (default)",1.0,1.0,1.0,1.0,5,p/kWh
dno_data_enhanced/Northern Powergrid (Northeast) - 2025-26 PCDM Model v0.1.xlsx,Northern Powergrid Northeast,23.0,2025,RED,DNO inputs,16:00-19:00 (weekdays) (default),7.432,8.4,7.916,8.4,2,p/kWh
dno_data_enhanced/Northern Powergrid (Northeast) - 2025-26 PCDM Model v0.1.xlsx,Northern Powergrid Northeast,23.0,2025,RED,MEAV,16:00-19:00 (weekdays) (default),0.8849588694823903,0.8849588694823903,0.8849588694823903,0.8849588694823903,1,p/kWh
dno_data_enhanced/Northern Powergrid (Northeast) - 2025-26 PCDM Model v0.1.xlsx,Northern Powergrid Northeast,23.0,2025,RED,Capitalised,16:00-19:00 (weekdays) (default),0.8849588694823903,0.8849588694823903,0.8849588694823903,0.8849588694823903,1,p/kWh
dno_data_enhanced/Northern Powergrid (Northeast) - 2025-26 PCDM Model v0.1.xlsx,Northern Powergrid Northeast,23.0,2025,RED,Rev allocation,16:00-19:00 (weekdays) (default),0.0201370692947085,1.0,0.3287542834154596,0.2160349265024103,32,p/kWh
dno_data_enhanced/Northern Powergrid (Northeast) - 2025-26 PCDM Model v0.1.xlsx,Northern Powergrid Northeast,23.0,2025,AMBER,Rev allocation,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.2135683667826878,1.0,0.4400311492019062,0.2382600734485183,11,p/kWh
dno_data_enhanced/Northern Powergrid (Northeast) - 2025-26 PCDM Model v0.1.xlsx,Northern Powergrid Northeast,23.0,2025,GREEN,Rev allocation,"23:00-07:00 (all days), all day (weekends) (default)",0.1249577932781994,1.0,0.5127367255448104,0.4069195176429565,12,p/kWh
dno_data_enhanced/Northern Powergrid (Northeast) - 2025-26 PCDM Model v0.1.xlsx,Northern Powergrid Northeast,23.0,2025,RED,EDCM discounts,16:00-19:00 (weekdays) (default),0.007236402970938,1.0,0.3483397621218627,0.1056603447212433,14,p/kWh
dno_data_enhanced/Northern Powergrid (Northeast) - 2025-26 PCDM Model v0.1.xlsx,Northern Powergrid Northeast,23.0,2025,AMBER,EDCM discounts,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.7254501626923034,1.0,0.9138514368118352,0.9797496993602794,24,p/kWh
dno_data_enhanced/Northern Powergrid (Northeast) - 2025-26 PCDM Model v0.1.xlsx,Northern Powergrid Northeast,23.0,2025,GREEN,EDCM discounts,"23:00-07:00 (all days), all day (weekends) (default)",0.3192287115039312,1.0,0.7638903321684983,0.7869756817773566,23,p/kWh
dno_data_enhanced/enwl---schedule-of-charges-and-other-tables--2025-v2_0.xlsx,Electricity North West,16.0,2025,RED,"Annex 1 LV, HV and UMS charges",16:00-19:00 (weekdays) (default),0.14,18.089,7.151,3.224,15,p/kWh
dno_data_enhanced/enwl---schedule-of-charges-and-other-tables--2025-v2_0.xlsx,Electricity North West,16.0,2025,GREEN,"Annex 1 LV, HV and UMS charges","23:00-07:00 (all days), all day (weekends) (default)",0.14,18.089,7.473434782608696,3.224,23,p/kWh
dno_data_enhanced/enwl---schedule-of-charges-and-other-tables--2025-v2_0.xlsx,Electricity North West,16.0,2025,RED,Annex 4 LDNO charges,16:00-19:00 (weekdays) (default),0.09,11.542,4.023421052631579,2.057,19,p/kWh
dno_data_enhanced/enwl---schedule-of-charges-and-other-tables--2025-v2_0.xlsx,Electricity North West,16.0,2025,GREEN,Annex 4 LDNO charges,"23:00-07:00 (all days), all day (weekends) (default)",0.09,11.542,4.770086956521738,2.057,23,p/kWh
dno_data_enhanced/enwl---schedule-of-charges-and-other-tables--2025-v2_0.xlsx,Electricity North West,16.0,2025,RED,Annex 5 LLFs,16:00-19:00 (weekdays) (default),0.932,1.115,1.0038148148148147,1.0,243,p/kWh
dno_data_enhanced/enwl---schedule-of-charges-and-other-tables--2025-v2_0.xlsx,Electricity North West,16.0,2025,AMBER,Annex 5 LLFs,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.932,1.104,1.003567901234568,1.0,243,p/kWh
dno_data_enhanced/enwl---schedule-of-charges-and-other-tables--2025-v2_0.xlsx,Electricity North West,16.0,2025,GREEN,Annex 5 LLFs,"23:00-07:00 (all days), all day (weekends) (default)",0.932,1.097,1.0029465020576132,1.0,243,p/kWh
dno_data_enhanced/enwl---schedule-of-charges-and-other-tables--2025-v2_0.xlsx,Electricity North West,16.0,2025,RED,Nodal prices,16:00-19:00 (weekdays) (default),0.21,12.46,4.806661929678198,3.1652525432272625,66,p/kWh
dno_data_enhanced/enwl---schedule-of-charges-and-other-tables--2025-v2_0.xlsx,Electricity North West,16.0,2025,AMBER,Nodal prices,"07:00-16:00, 19:00-23:00 (weekdays) (default)",1.2157923675972264,5.6702040592249965,3.052582129850795,2.704089921035211,16,p/kWh
dno_data_enhanced/enwl---schedule-of-charges-and-other-tables--2025-v2_0.xlsx,Electricity North West,16.0,2025,GREEN,Nodal prices,"23:00-07:00 (all days), all day (weekends) (default)",0.3877958413887705,10.816359684140844,3.977571942558445,3.741705820967326,102,p/kWh
dno_data_enhanced/Northern Powergrid (Yorkshire) - 2025-26 PCDM Model v0.1.xlsx,Northern Powergrid Yorkshire,15.0,2025,RED,Fixed inputs,16:00-19:00 (weekdays) (default),1.0,1.0,1.0,1.0,7,p/kWh
dno_data_enhanced/Northern Powergrid (Yorkshire) - 2025-26 PCDM Model v0.1.xlsx,Northern Powergrid Yorkshire,15.0,2025,AMBER,Fixed inputs,"07:00-16:00, 19:00-23:00 (weekdays) (default)",1.0,1.0,1.0,1.0,6,p/kWh
dno_data_enhanced/Northern Powergrid (Yorkshire) - 2025-26 PCDM Model v0.1.xlsx,Northern Powergrid Yorkshire,15.0,2025,GREEN,Fixed inputs,"23:00-07:00 (all days), all day (weekends) (default)",1.0,1.0,1.0,1.0,5,p/kWh
dno_data_enhanced/Northern Powergrid (Yorkshire) - 2025-26 PCDM Model v0.1.xlsx,Northern Powergrid Yorkshire,15.0,2025,RED,MEAV,16:00-19:00 (weekdays) (default),0.8936346597538318,0.8936346597538318,0.8936346597538318,0.8936346597538318,1,p/kWh
dno_data_enhanced/Northern Powergrid (Yorkshire) - 2025-26 PCDM Model v0.1.xlsx,Northern Powergrid Yorkshire,15.0,2025,RED,Capitalised,16:00-19:00 (weekdays) (default),0.8936346597538318,0.8936346597538318,0.8936346597538318,0.8936346597538318,1,p/kWh
dno_data_enhanced/Northern Powergrid (Yorkshire) - 2025-26 PCDM Model v0.1.xlsx,Northern Powergrid Yorkshire,15.0,2025,RED,Rev allocation,16:00-19:00 (weekdays) (default),0.0277541303765591,1.0,0.3289923165742675,0.2094777661909504,32,p/kWh
